ID,pen_data
04_03_10_44_25_957089,0
04_03_10_44_25_963973,0
04_03_10_44_25_970232,0
04_03_10_44_25_977124,0
04_03_10_44_25_983272,0
04_03_10_44_25_987433,0
04_03_10_44_25_991843,0
04_03_10_44_25_995966,0
04_03_10_44_26_002237,0
04_03_10_44_26_008376,0
04_03_10_44_26_014171,0
04_03_10_44_26_020031,0
04_03_10_44_26_058915,0
04_03_10_47_53_594942,0
04_03_10_47_53_600134,0
04_03_10_47_53_605006,0
04_03_10_47_53_608981,0
04_03_10_47_53_613050,0
04_03_10_47_53_617668,0
04_03_10_47_53_622896,0
04_03_10_47_53_627310,0
04_03_10_47_53_632333,0
04_03_10_47_53_637298,0
04_03_10_47_53_642551,0
04_03_10_47_53_655224,0
04_03_10_47_53_660057,0
04_03_10_51_28_280328,0
04_03_10_51_28_285757,0
04_03_10_51_28_290613,0
04_03_10_51_28_294894,0
04_03_10_51_28_299163,0
04_03_10_51_28_304098,0
04_03_10_51_28_308766,0
04_03_10_51_28_313390,0
04_03_10_51_28_322898,0
04_03_10_51_28_327146,0
04_03_10_51_28_331273,0
04_03_10_51_28_334792,0
04_03_10_51_28_348429,0
04_03_10_51_28_357521,0
04_03_10_55_02_941249,0
04_03_10_55_02_945618,0
04_03_10_55_02_949778,0
04_03_10_55_02_955154,0
04_03_10_55_02_959251,0
04_03_10_55_02_963168,0
04_03_10_55_02_966610,0
04_03_10_55_02_970789,0
04_03_10_55_02_975649,0
04_03_10_55_02_979545,0
04_03_10_55_02_983567,0
04_03_10_55_02_987265,0
04_03_10_55_02_992312,0
04_03_10_55_03_010132,0
04_03_10_55_03_019537,0
04_03_10_55_03_032644,0
04_03_10_58_28_721340,0
04_03_10_58_28_725215,0
04_03_10_58_28_729494,0
04_03_10_58_28_733471,0
04_03_10_58_28_740144,0
04_03_10_58_28_747168,0
04_03_10_58_28_753074,0
04_03_10_58_28_796995,0
04_03_10_58_28_816620,0
04_03_10_58_28_820970,0
04_03_11_03_27_241299,0
04_03_11_03_27_249503,0
04_03_11_03_27_256025,0
04_03_11_03_27_261562,0
04_03_11_03_27_268269,0
04_03_11_03_27_275317,0
04_03_11_03_27_281220,0
04_03_11_03_27_287827,0
04_03_11_03_27_308771,0
04_03_11_03_27_322892,0
04_03_11_03_27_349014,0
04_03_11_11_28_788511,0
04_03_11_11_28_795910,0
04_03_11_11_28_802623,0
04_03_11_11_28_808936,0
04_03_11_11_28_816879,0
04_03_11_11_28_825676,0
04_03_11_11_28_832516,0
04_03_11_11_28_846511,0
04_03_11_11_28_866569,0
04_03_11_11_28_883503,0
04_03_11_11_28_891638,0
04_03_11_11_28_900473,0
04_03_11_19_31_080489,0
04_03_11_19_31_086214,0
04_03_11_19_31_092902,0
04_03_11_19_31_099062,0
04_03_11_19_31_104672,0
04_03_11_19_31_125111,0
04_03_11_27_34_779317,0
04_03_11_27_34_789728,0
04_03_11_27_34_795217,0
04_03_11_27_34_801564,0
04_03_11_27_34_810524,0
04_03_11_27_34_816889,0
04_03_11_27_34_824632,0
04_03_11_27_34_844855,0
04_03_11_27_34_869185,0
04_03_11_27_34_914470,0
04_03_11_27_34_922443,0
04_03_11_27_34_951223,0
04_03_11_36_04_808159,0
04_03_11_36_04_814915,0
04_03_11_36_04_820316,0
04_03_11_36_04_828067,0
04_03_11_36_04_834228,0
04_03_11_36_04_839709,0
04_03_11_36_04_845069,0
04_03_11_36_04_850854,0
04_03_11_36_04_858938,0
04_03_11_36_04_871281,0
04_03_11_36_04_886228,0
04_03_11_36_04_908328,0
04_03_11_36_04_929237,0
04_03_11_36_04_943076,0
04_03_11_36_04_949795,0
04_03_11_44_12_671001,0
04_03_11_44_12_678177,0
04_03_11_44_12_686157,0
04_03_11_44_12_697084,0
04_03_11_44_12_704761,0
04_03_11_44_12_712625,0
04_03_11_44_12_729627,0
04_03_11_44_12_742147,0
04_03_11_44_12_806270,0
04_03_11_44_12_847912,0
04_03_11_50_10_183959,0
04_03_11_50_10_191864,0
04_03_11_50_10_195896,0
04_03_11_50_10_199828,0
04_03_11_50_10_205335,0
04_03_11_50_10_211329,0
04_03_11_50_10_217328,0
04_03_11_50_10_250590,0
