metric,rho_partial,p_value
CHM,0.5709014112044118,1.7748843830453883e-13
CHD,-0.5647501600858372,3.6528789103374526e-13
IFN,-0.10825238982463391,0.20297515343118433
IRN,0.07200897508054174,0.39784221694661104
OPN,0.05341445943058673,0.5307970014880149
SMQ,0.19507161320512958,0.020907000166584595
SCOH,0.17240699363781192,0.041656350648076004
SCOP,0.05199116702050046,0.5418185333707285
CMQ,0.47465154518610353,3.1274808344223526e-09
CCOH,0.3862084950217157,2.4423384011778373e-06
CCOP,0.07048197869637558,0.4079497496922771
