metric,rho_cargo,rho_jpetstore,rho_daytrader,pattern
CHM,0.21070832064921227,0.5709014112044118,,✓ +
CHD,0.34062708727212054,-0.5647501600858372,,✗
IFN,-0.22711137745326243,-0.10825238982463391,,✓ -
IRN,0.17938856122976182,0.07200897508054174,-0.012976530760905772,✗
OPN,0.18989642148783706,0.05341445943058673,,✓ +
SMQ,-0.05564246096630438,0.19507161320512958,0.16549310102467352,✗
SCOH,-0.03073117245359238,0.17240699363781192,0.3374006681201189,✗
SCOP,0.15368153040063354,0.05199116702050046,-0.06725069064909055,✗
CMQ,0.02080728415247988,0.47465154518610353,0.03517971218953989,✓ +
CCOH,0.014092526690391457,0.3862084950217157,0.04477458727417597,✓ +
CCOP,0.010521498864916757,0.07048197869637558,-0.02368174449411437,✓ ~0
